"","long_station_name","data_owner_id","dwr_sample_code","collection_date2","lab_result","field_result","rpd"
"211","NZ032 - Montezuma Slough nr Grizzly Island Club","0310","E1122B2657","11/18/2022 12:40",13300,13417,0.875846839091215
"212","D41A - San Pablo Bay near Mouth of Petaluma River","0310","E1122B2703","11/21/2022 10:30",37700,39112,3.67650887882102
"213","D41 - San Pablo Bay near Pinole Point","0310","E1122B2704","11/21/2022 12:05",42700,44443,4.00032131094867
"214","NZ325 - San Pablo Bay near Rock Wall and Light 15","0310","E1122B2705","11/21/2022 13:00",38500,39689,3.04134852728645
"215","NZ002 - Carquinez Strait near Glencove Harbor","0310","E1122B2706","11/21/2022 13:25",35300,36970,4.62155804621558
"216","NZ004 - Carquinez Strait near Ozol Pier","0310","E1122B2707","11/21/2022 13:45",32500,33606,3.34614104619853
"217","Sacramento River @ Hood - C3A","0310","E1222B2722","12/09/2022 08:00",185,181,-2.18579234972678
"218","C9 - West Canal @ Clifton Court Intake","0310","E1222B2723","12/09/2022 09:50",632,627,-0.79428117553614
"219","C10A - San Joaquin River near Vernalis @ SJR Club","0310","E1222B2724","12/09/2022 11:15",476,471,-1.05596620908131
"220","D12 - San Joaquin River @ Antioch Ship Channel","0310","E1222B2733","12/13/2022 09:30",4350,4420,1.5963511972634
"221","SF Estuarine Entrapment Zone-6000 µS/cm bottom EC","0310","E1222B2749","12/13/2022 09:30",4440,4420,-0.451467268623025
"222","SF Estuarine Entrapment Zone-2000 µS/cm bottom EC","0310","E1222B2750","12/13/2022 10:40",1730,1737,0.403807326218633
"223","D19 - Frank's Tract near Russo's Landing","0310","E1222B2734","12/13/2022 11:35",1010,1017,0.690675875678342
"224","D28A - Old River @ Rancho Del Rio","0310","E1222B2735","12/13/2022 12:20",846,834,-1.42857142857143
"225","D16 - San Joaquin River @ Twitchell Island","0310","E1222B2767","12/14/2022 09:30",676,718,6.02582496413199
"226","D26 - San Joaquin River @ Potato Point","0310","E1222B2768","12/14/2022 10:50",448,442,-1.34831460674157
"227","MD10A - Disappointment Slough @ Bishop Cut","0310","E1222B2769","12/14/2022 12:25",466,464,-0.43010752688172
"228","P8 - San Joaquin River @ Buckley Cove","0310","E1222B2770","12/14/2022 14:00",546,542,-0.735294117647059
"229","D4 - Sacramento River above Point Sacramento","0310","E1222B2795","12/15/2022 10:05",4580,4160,-9.61098398169336
"230","SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC","0310","E1222B2827","12/15/2022 10:25",3450,4227,20.2422821414615
"231","D22 - Sacramento River @ Emmaton","0310","E1222B2796","12/15/2022 11:10",1230,1325,7.43639921722114
