long_station_name,data_owner_id,dwr_sample_code,collection_date2,lab_result,field_result,rpd
NZ002 - Carquinez Strait near Glencove Harbor,0310,E0223B0204,02/07/2023 16:40,14800,15801,6.542269860462076
NZ004 - Carquinez Strait near Ozol Pier,0310,E0223B0205,02/07/2023 17:25,10300,11742,13.084112149532709
Sacramento River @ Hood - C3A,0310,E0223B0222,02/10/2023 09:00,199,197,-1.0101010101010102
C9 - West Canal @ Clifton Court Intake,0310,E0223B0223,02/10/2023 11:00,409,401,-1.9753086419753085
C10A - San Joaquin River near Vernalis @ SJR Club,0310,E0223B0224,02/10/2023 12:30,376,372,-1.06951871657754
D12 - San Joaquin River @ Antioch Ship Channel,0310,E0223B0247,02/13/2023 09:10,286,277,-3.197158081705151
D16 - San Joaquin River @ Twitchell Island,0310,E0223B0309,02/13/2023 10:15,249,244,-2.028397565922921
D19 - Frank's Tract near Russo's Landing,0310,E0223B0248,02/13/2023 11:15,274,271,-1.1009174311926606
D28A - Old River @ Rancho Del Rio,0310,E0223B0249,02/13/2023 12:15,282,276,-2.1505376344086025
D26 - San Joaquin River @ Potato Point,0310,E0223B0310,02/14/2023 09:40,229,225,-1.762114537444934
MD10A - Disappointment Slough @ Bishop Cut,0310,E0223B0311,02/14/2023 11:00,320,314,-1.8927444794952681
P8 - San Joaquin River @ Buckley Cove,0310,E0223B0312,02/14/2023 12:35,442,436,-1.366742596810934
D4 - Sacramento River above Point Sacramento,0310,E0223B0351,02/15/2023 10:55,498,497,-0.20100502512562815
D22 - Sacramento River @ Emmaton,0310,E0223B0352,02/15/2023 11:45,241,238,-1.2526096033402923
NZ068 in Sacramento River,0310,E0223B0353,02/15/2023 12:40,213,210,-1.4184397163120568
D6 - Suisun Bay @ Bulls Head nr. Martinez,0310,E0223B0445,02/16/2023 11:00,20300,20473,0.8486007897383072
D8 - Suisun Bay off Middle Point nr. Nichols,0310,E0223B0446,02/16/2023 12:15,4100,4532,10.009267840593141
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,0310,E0223B0397,02/16/2023 13:10,1740,1640,-5.9171597633136095
D10 - Sacramento River @ Chipps Island,0310,E0223B0447,02/16/2023 13:50,789,798,1.1342155009451798
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,0310,E0223B0398,02/16/2023 14:50,1580,1599,1.1953444479396038
Sacramento River @ Hood - C3A,0310,E0622B1194,06/20/2022 10:00,122,121,-0.823045267489712
C9 - West Canal @ Clifton Court Intake,0310,E0622B1195,06/20/2022 11:45,441,437,-0.9111617312072893
C10A - San Joaquin River near Vernalis @ SJR Club,0310,E0622B1196,06/20/2022 13:15,137,136,-0.7326007326007326
D12 - San Joaquin River @ Antioch Ship Channel,0310,E0622B1199,06/21/2022 09:50,4930,5157,4.5008426687816
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,0310,E0622B1211,06/21/2022 10:30,4150,4499,8.070297144178518
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,0310,E0622B1212,06/21/2022 11:30,1840,1852,0.6500541711809318
D16 - San Joaquin River @ Twitchell Island,0310,E0622B1200,06/21/2022 12:15,1200,1210,0.8298755186721992
D19 - Frank's Tract near Russo's Landing,0310,E0622B1201,06/21/2022 13:45,637,644,1.092896174863388
D28A - Old River @ Rancho Del Rio,0310,E0622B1202,06/21/2022 14:45,497,496,-0.2014098690835851
D26 - San Joaquin River @ Potato Point,0310,E0622B1224,06/22/2022 10:05,531,545,2.6022304832713754
MD10A - Disappointment Slough @ Bishop Cut,0310,E0622B1225,06/22/2022 11:30,405,414,2.197802197802198
P8 - San Joaquin River @ Buckley Cove,0310,E0622B1226,06/22/2022 13:10,489,501,2.4242424242424243
D4 - Sacramento River above Point Sacramento,0310,E0622B1245,06/23/2022 11:45,9510,9452,-0.6117498154203144
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,0310,E0622B1271,06/23/2022 12:25,4080,4933,18.928214800843225
D22 - Sacramento River @ Emmaton,0310,E0622B1246,06/23/2022 12:55,3230,3429,5.976873404415077
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,0310,E0622B1272,06/23/2022 13:40,1390,1410,1.4285714285714286
NZ068 in Sacramento River,0310,E0622B1247,06/23/2022 14:20,610,627,2.7485852869846403
D6 - Suisun Bay @ Bulls Head nr. Martinez,0310,E0622B1299,06/24/2022 12:00,29500,30016,1.7339874991598898
D8 - Suisun Bay off Middle Point nr. Nichols,0310,E0622B1300,06/24/2022 12:45,18900,19074,0.916416495496919
D10 - Sacramento River @ Chipps Island,0310,E0622B1301,06/24/2022 13:25,14600,14757,1.0695915795210682
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,0310,E0622B1335,06/27/2022 13:55,21900,22086,0.8457236393397899
NZS42 - Suisun Slough @ Volanti Slough,0310,E0622B1336,06/27/2022 15:15,17600,17814,1.2085615858135201
NZ032 - Montezuma Slough nr Grizzly Island Club,0310,E0622B1337,06/27/2022 16:15,19500,19691,0.9747135821999949
D41A - San Pablo Bay near Mouth of Petaluma River,0310,E0622B1377,06/28/2022 12:35,39600,40279,1.7000713579288673
D41 - San Pablo Bay near Pinole Point,0310,E0622B1378,06/28/2022 14:10,43700,44653,2.1572555544237324
NZ325 - San Pablo Bay near Rock Wall and Light 15,0310,E0622B1379,06/28/2022 15:00,37300,38116,2.163997029807998
NZ002 - Carquinez Strait near Glencove Harbor,0310,E0622B1380,06/28/2022 15:25,36300,37054,2.055784278975925
NZ004 - Carquinez Strait near Ozol Pier,0310,E0622B1381,06/28/2022 15:40,32800,33498,2.105644212495098
Sacramento River @ Hood - C3A,0310,E0722B1400,07/18/2022 08:45,122,121,-0.823045267489712
C9 - West Canal @ Clifton Court Intake,0310,E0722B1401,07/18/2022 10:40,567,566,-0.176522506619594
C10A - San Joaquin River near Vernalis @ SJR Club,0310,E0722B1402,07/18/2022 12:00,229,229,0
D12 - San Joaquin River @ Antioch Ship Channel,0310,E0722B1411,07/19/2022 08:20,4410,4894,10.404127257093723
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,0310,E0722B1427,07/19/2022 08:20,4680,4894,4.470440777104658
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,0310,E0722B1428,07/19/2022 09:10,1770,1784,0.7878446820483961
D19 - Frank's Tract near Russo's Landing,0310,E0722B1412,07/19/2022 10:50,587,587,0
D28A - Old River @ Rancho Del Rio,0310,E0722B1413,07/19/2022 11:50,554,555,0.18034265103697023
D16 - San Joaquin River @ Twitchell Island,0310,E0722B1445,07/20/2022 08:20,703,701,-0.2849002849002849
D26 - San Joaquin River @ Potato Point,0310,E0722B1446,07/20/2022 09:15,403,403,0
MD10A - Disappointment Slough @ Bishop Cut,0310,E0722B1447,07/20/2022 10:45,319,317,-0.628930817610063
P8 - San Joaquin River @ Buckley Cove,0310,E0722B1448,07/20/2022 12:25,527,529,0.3787878787878788
D4 - Sacramento River above Point Sacramento,0310,E0722B1473,07/21/2022 10:30,7140,7174,0.4750593824228029
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,0310,E0722B1505,07/21/2022 10:55,6500,6527,0.41452368158440167
D22 - Sacramento River @ Emmaton,0310,E0722B1474,07/21/2022 11:25,2000,1917,-4.237937196834312
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,0310,E0722B1506,07/21/2022 11:45,1260,1276,1.2618296529968454
NZ068 in Sacramento River,0310,E0722B1475,07/21/2022 12:20,223,223,0
D6 - Suisun Bay @ Bulls Head nr. Martinez,0310,E0722B1539,07/22/2022 11:15,26600,27316,2.6559833815564953
D8 - Suisun Bay off Middle Point nr. Nichols,0310,E0722B1540,07/22/2022 12:05,14800,14847,0.31706412115897054
D10 - Sacramento River @ Chipps Island,0310,E0722B1541,07/22/2022 12:50,11400,11493,0.8124754291704888
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,0310,E0722B1581,07/25/2022 13:30,22500,22769,1.1884512580353002
NZS42 - Suisun Slough @ Volanti Slough,0310,E0722B1582,07/25/2022 14:55,17900,18018,0.6570521743972382
NZ032 - Montezuma Slough nr Grizzly Island Club,0310,E0722B1583,07/25/2022 15:50,18100,18190,0.4960044089280794
D41A - San Pablo Bay near Mouth of Petaluma River,0310,E0722B1629,07/26/2022 11:40,39800,40394,1.481407586602489
D41 - San Pablo Bay near Pinole Point,0310,E0722B1630,07/26/2022 13:10,43900,44548,1.4652677279305355
NZ325 - San Pablo Bay near Rock Wall and Light 15,0310,E0722B1631,07/26/2022 13:55,36800,37323,1.4111679235864711
NZ002 - Carquinez Strait near Glencove Harbor,0310,E0722B1632,07/26/2022 14:10,33900,35669,5.085598470583162
NZ004 - Carquinez Strait near Ozol Pier,0310,E0722B1633,07/26/2022 14:30,30200,32716,7.99796554135673
Sacramento River @ Hood - C3A,0310,E0822B1724,08/15/2022 08:00,120,119,-0.8368200836820083
C9 - West Canal @ Clifton Court Intake,0310,E0822B1725,08/15/2022 10:15,429,425,-0.936768149882904
C10A - San Joaquin River near Vernalis @ SJR Club,0310,E0822B1726,08/15/2022 11:30,303,299,-1.3289036544850499
D12 - San Joaquin River @ Antioch Ship Channel,0310,E0822B1735,08/16/2022 07:10,5010,5474,8.851583365127814
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,0310,E0822B1751,08/16/2022 07:50,5010,5077,1.3284425498165955
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,0310,E0822B1752,08/16/2022 08:45,2040,2011,-1.431745248086892
D19 - Frank's Tract near Russo's Landing,0310,E0822B1736,08/16/2022 10:30,565,561,-0.7104795737122558
D28A - Old River @ Rancho Del Rio,0310,E0822B1737,08/16/2022 11:30,439,440,0.22753128555176336
D16 - San Joaquin River @ Twitchell Island,0310,E0822B1769,08/17/2022 07:00,731,733,0.273224043715847
D26 - San Joaquin River @ Potato Point,0310,E0822B1770,08/17/2022 07:50,415,420,1.1976047904191618
MD10A - Disappointment Slough @ Bishop Cut,0310,E0822B1771,08/17/2022 09:20,232,233,0.43010752688172044
P8 - San Joaquin River @ Buckley Cove,0310,E0822B1772,08/17/2022 10:55,569,572,0.5258545135845749
D4 - Sacramento River above Point Sacramento,0310,E0822B1797,08/18/2022 09:00,9620,9702,0.848773418900735
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,0310,E0822B1829,08/18/2022 09:50,4900,5045,2.916038210155857
D22 - Sacramento River @ Emmaton,0310,E0822B1798,08/18/2022 10:05,3740,3547,-5.2971044325511185
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,0310,E0822B1830,08/18/2022 10:35,1940,1845,-5.019815059445178
NZ068 in Sacramento River,0310,E0822B1799,08/18/2022 11:15,313,327,4.375
D6 - Suisun Bay @ Bulls Head nr. Martinez,0310,E0822B1863,08/19/2022 10:10,28100,28933,2.921115845212421
D8 - Suisun Bay off Middle Point nr. Nichols,0310,E0822B1864,08/19/2022 11:10,16500,16838,2.027716119743236
D10 - Sacramento River @ Chipps Island,0310,E0822B1865,08/19/2022 11:50,13300,13392,0.6893451221339727
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,0310,E0822B1905,08/22/2022 11:50,21800,22044,1.113037131648572
NZS42 - Suisun Slough @ Volanti Slough,0310,E0822B1906,08/22/2022 13:10,18800,19000,1.0582010582010581
NZ032 - Montezuma Slough nr Grizzly Island Club,0310,E0822B1907,08/22/2022 14:15,19100,19250,0.7822685788787485
D41A - San Pablo Bay near Mouth of Petaluma River,0310,E0822B1953,08/23/2022 10:35,40000,40717,1.7765774248299615
D41 - San Pablo Bay near Pinole Point,0310,E0822B1954,08/23/2022 12:05,44000,44875,1.969057665260197
NZ325 - San Pablo Bay near Rock Wall and Light 15,0310,E0822B1955,08/23/2022 12:50,38400,38974,1.4837025357355185
NZ002 - Carquinez Strait near Glencove Harbor,0310,E0822B1956,08/23/2022 13:10,34100,34677,1.6778865027552814
NZ004 - Carquinez Strait near Ozol Pier,0310,E0822B1957,08/23/2022 13:25,33300,33744,1.3245033112582782
Sacramento River @ Hood - C3A,0310,E0922B2027,09/13/2022 08:00,131,131,0
C9 - West Canal @ Clifton Court Intake,0310,E0922B2028,09/13/2022 10:00,439,440,0.22753128555176336
C10A - San Joaquin River near Vernalis @ SJR Club,0310,E0922B2029,09/13/2022 11:30,196,196,0
D12 - San Joaquin River @ Antioch Ship Channel,0310,E0922B2032,09/14/2022 08:30,7090,7275,2.575704838148277
D19 - Frank's Tract near Russo's Landing,0310,E0922B2033,09/14/2022 10:30,681,671,-1.4792899408284024
D28A - Old River @ Rancho Del Rio,0310,E0922B2034,09/14/2022 11:30,490,491,0.20387359836901123
D16 - San Joaquin River @ Twitchell Island,0310,E0922B2054,09/15/2022 07:15,874,873,-0.11448196908986834
D26 - San Joaquin River @ Potato Point,0310,E0922B2055,09/15/2022 08:15,522,524,0.3824091778202677
MD10A - Disappointment Slough @ Bishop Cut,0310,E0922B2056,09/15/2022 09:40,250,250,0
P8 - San Joaquin River @ Buckley Cove,0310,E0922B2057,09/15/2022 11:25,701,701,0
D6 - Suisun Bay @ Bulls Head nr. Martinez,0310,E0922B2130,09/19/2022 11:20,30900,30898,-0.006472701381921745
D8 - Suisun Bay off Middle Point nr. Nichols,0310,E0922B2131,09/19/2022 12:20,18000,17966,-0.18906745259411667
D10 - Sacramento River @ Chipps Island,0310,E0922B2132,09/19/2022 13:00,14100,14324,1.5761328454826906
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,0310,E0922B2166,09/20/2022 11:25,20700,22017,6.1661633541681296
NZS42 - Suisun Slough @ Volanti Slough,0310,E0922B2167,09/20/2022 12:50,13600,13731,0.9586184186454941
NZ032 - Montezuma Slough nr Grizzly Island Club,0310,E0922B2168,09/20/2022 13:55,13500,13588,0.6497341996455995
D41A - San Pablo Bay near Mouth of Petaluma River,0310,E0922B2208,09/21/2022 10:00,39600,40246,1.6181148711269193
D41 - San Pablo Bay near Pinole Point,0310,E0922B2209,09/21/2022 11:45,44000,44793,1.7861768382642775
NZ325 - San Pablo Bay near Rock Wall and Light 15,0310,E0922B2210,09/21/2022 12:40,37300,38141,2.229556872257791
NZ002 - Carquinez Strait near Glencove Harbor,0310,E0922B2211,09/21/2022 13:00,36400,37067,1.8157812351123632
NZ004 - Carquinez Strait near Ozol Pier,0310,E0922B2212,09/21/2022 13:20,34000,34493,1.4395631670389675
D4 - Sacramento River above Point Sacramento,0310,E0922B2076,09/30/2022 07:25,10700,11024,2.9828760817528996
D22 - Sacramento River @ Emmaton,0310,E0922B2077,09/30/2022 08:25,4780,4754,-0.5454164044472415
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,0310,E0922B2102,09/30/2022 08:25,4730,4754,0.5061155630535639
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,0310,E0922B2103,09/30/2022 09:20,1020,1054,3.278688524590164
NZ068 in Sacramento River,0310,E0922B2078,09/30/2022 10:05,749,733,-2.1592442645074224
Sacramento River @ Hood - C3A,0310,E1022B2276,10/12/2022 08:15,140,139,-0.7168458781362007
C9 - West Canal @ Clifton Court Intake,0310,E1022B2277,10/12/2022 10:05,493,491,-0.40650406504065045
C10A - San Joaquin River near Vernalis @ SJR Club,0310,E1022B2278,10/12/2022 11:15,247,244,-1.2219959266802443
D12 - San Joaquin River @ Antioch Ship Channel,0310,E1022B2287,10/13/2022 09:00,6950,7092,2.0225039168209658
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,0310,E1022B2303,10/13/2022 09:55,5060,5106,0.904977375565611
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,0310,E1022B2304,10/13/2022 11:00,1850,1835,-0.8141112618724559
D16 - San Joaquin River @ Twitchell Island,0310,E1022B2306,10/13/2022 11:35,1640,1618,-1.350521792510743
D19 - Frank's Tract near Russo's Landing,0310,E1022B2288,10/13/2022 12:45,881,864,-1.9484240687679084
D28A - Old River @ Rancho Del Rio,0310,E1022B2289,10/13/2022 13:35,619,610,-1.4646053702196908
D26 - San Joaquin River @ Potato Point,0310,E1022B2307,10/14/2022 08:55,733,721,-1.6506189821182942
MD10A - Disappointment Slough @ Bishop Cut,0310,E1022B2308,10/14/2022 10:30,339,336,-0.8888888888888888
P8 - San Joaquin River @ Buckley Cove,0310,E1022B2309,10/14/2022 12:35,772,764,-1.0416666666666665
D4 - Sacramento River above Point Sacramento,0310,E1022B2319,10/17/2022 11:15,10200,9841,-3.5826555561099744
D22 - Sacramento River @ Emmaton,0310,E1022B2320,10/17/2022 12:05,4650,4487,-3.567910692787567
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,0310,E1022B2336,10/17/2022 12:05,4450,4487,0.828018350676961
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,0310,E1022B2337,10/17/2022 13:00,824,950,14.205186020293123
NZ068 in Sacramento River,0310,E1022B2321,10/17/2022 13:30,829,857,3.3214709371292996
D6 - Suisun Bay @ Bulls Head nr. Martinez,0310,E1022B2355,10/18/2022 12:00,30900,31993,3.475744518467874
D8 - Suisun Bay off Middle Point nr. Nichols,0310,E1022B2356,10/18/2022 13:15,17300,16194,-6.604167910670568
D10 - Sacramento River @ Chipps Island,0310,E1022B2357,10/18/2022 14:05,12900,12655,-1.9174329876736451
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,0310,E1022B2382,10/19/2022 10:50,21400,21755,1.6452323021666087
NZS42 - Suisun Slough @ Volanti Slough,0310,E1022B2383,10/19/2022 12:15,15100,15206,0.6995314459183
NZ032 - Montezuma Slough nr Grizzly Island Club,0310,E1022B2384,10/19/2022 13:30,15600,16004,2.556638400202506
D41A - San Pablo Bay near Mouth of Petaluma River,0310,E1022B2415,10/20/2022 09:00,38300,38903,1.5621154618343847
D41 - San Pablo Bay near Pinole Point,0310,E1022B2416,10/20/2022 10:35,44100,44933,1.8712162905888827
NZ325 - San Pablo Bay near Rock Wall and Light 15,0310,E1022B2417,10/20/2022 11:25,38700,39354,1.6757629333538318
NZ002 - Carquinez Strait near Glencove Harbor,0310,E1022B2418,10/20/2022 11:45,36200,37222,2.7839067309525753
NZ004 - Carquinez Strait near Ozol Pier,0310,E1022B2419,10/20/2022 12:05,33500,33926,1.2636075104559072
Sacramento River @ Hood - C3A,0310,E1122B2474,11/10/2022 09:15,142,141,-0.7067137809187279
C9 - West Canal @ Clifton Court Intake,0310,E1122B2475,11/10/2022 11:05,540,533,-1.30475302889096
C10A - San Joaquin River near Vernalis @ SJR Club,0310,E1122B2476,11/10/2022 12:45,366,363,-0.823045267489712
D12 - San Joaquin River @ Antioch Ship Channel,0310,E1122B2485,11/14/2022 10:15,5160,5182,0.4254496228969252
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,0310,E1122B2501,11/14/2022 11:00,4900,4969,1.3983179653460331
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,0310,E1122B2502,11/14/2022 12:20,1830,1824,-0.3284072249589491
D19 - Frank's Tract near Russo's Landing,0310,E1122B2486,11/14/2022 13:25,984,981,-0.3053435114503817
D28A - Old River @ Rancho Del Rio,0310,E1122B2487,11/14/2022 14:30,684,686,0.291970802919708
D16 - San Joaquin River @ Twitchell Island,0310,E1122B2519,11/15/2022 10:30,754,775,2.746893394375409
D26 - San Joaquin River @ Potato Point,0310,E1122B2520,11/15/2022 12:10,420,422,0.4750593824228029
MD10A - Disappointment Slough @ Bishop Cut,0310,E1122B2521,11/15/2022 13:50,461,457,-0.8714596949891068
P8 - San Joaquin River @ Buckley Cove,0310,E1122B2522,11/15/2022 16:00,296,293,-1.0186757215619695
D4 - Sacramento River above Point Sacramento,0310,E1122B2547,11/16/2022 11:15,9240,9440,2.141327623126338
D22 - Sacramento River @ Emmaton,0310,E1122B2548,11/16/2022 12:15,4770,4890,2.484472049689441
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,0310,E1122B2579,11/16/2022 12:15,4760,4890,2.6943005181347153
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,0310,E1122B2580,11/16/2022 13:40,716,738,3.0261348005502064
NZ068 in Sacramento River,0310,E1122B2549,11/16/2022 14:15,591,638,7.648494711147275
D6 - Suisun Bay @ Bulls Head nr. Martinez,0310,E1122B2613,11/17/2022 10:40,29700,30196,1.6562040870842794
D8 - Suisun Bay off Middle Point nr. Nichols,0310,E1122B2614,11/17/2022 11:45,15800,15863,0.39794081419953886
D10 - Sacramento River @ Chipps Island,0310,E1122B2615,11/17/2022 12:30,14400,14606,1.4203957801834104
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,0310,E1122B2655,11/18/2022 10:10,21200,21598,1.8598999953268844
NZS42 - Suisun Slough @ Volanti Slough,0310,E1122B2656,11/18/2022 11:25,12200,12409,1.698565565443537
NZ032 - Montezuma Slough nr Grizzly Island Club,0310,E1122B2657,11/18/2022 12:40,13300,13417,0.8758468390912153
D41A - San Pablo Bay near Mouth of Petaluma River,0310,E1122B2703,11/21/2022 10:30,37700,39112,3.6765088788210174
D41 - San Pablo Bay near Pinole Point,0310,E1122B2704,11/21/2022 12:05,42700,44443,4.000321310948671
NZ325 - San Pablo Bay near Rock Wall and Light 15,0310,E1122B2705,11/21/2022 13:00,38500,39689,3.041348527286447
NZ002 - Carquinez Strait near Glencove Harbor,0310,E1122B2706,11/21/2022 13:25,35300,36970,4.621558046215581
NZ004 - Carquinez Strait near Ozol Pier,0310,E1122B2707,11/21/2022 13:45,32500,33606,3.3461410461985293
Sacramento River @ Hood - C3A,0310,E1222B2722,12/09/2022 08:00,185,181,-2.185792349726776
C9 - West Canal @ Clifton Court Intake,0310,E1222B2723,12/09/2022 09:50,632,627,-0.7942811755361397
C10A - San Joaquin River near Vernalis @ SJR Club,0310,E1222B2724,12/09/2022 11:15,476,471,-1.0559662090813093
D12 - San Joaquin River @ Antioch Ship Channel,0310,E1222B2733,12/13/2022 09:30,4350,4420,1.596351197263398
SF Estuarine Entrapment Zone-6000 µS/cm bottom EC,0310,E1222B2749,12/13/2022 09:30,4440,4420,-0.4514672686230248
SF Estuarine Entrapment Zone-2000 µS/cm bottom EC,0310,E1222B2750,12/13/2022 10:40,1730,1737,0.4038073262186328
D19 - Frank's Tract near Russo's Landing,0310,E1222B2734,12/13/2022 11:35,1010,1017,0.6906758756783424
D28A - Old River @ Rancho Del Rio,0310,E1222B2735,12/13/2022 12:20,846,834,-1.4285714285714286
D16 - San Joaquin River @ Twitchell Island,0310,E1222B2767,12/14/2022 09:30,676,718,6.025824964131994
D26 - San Joaquin River @ Potato Point,0310,E1222B2768,12/14/2022 10:50,448,442,-1.348314606741573
MD10A - Disappointment Slough @ Bishop Cut,0310,E1222B2769,12/14/2022 12:25,466,464,-0.43010752688172044
P8 - San Joaquin River @ Buckley Cove,0310,E1222B2770,12/14/2022 14:00,546,542,-0.7352941176470588
D4 - Sacramento River above Point Sacramento,0310,E1222B2795,12/15/2022 10:05,4580,4160,-9.610983981693364
SF Estuarine Entrapment Zone- 6000 ?S/cm bottom EC,0310,E1222B2827,12/15/2022 10:25,3450,4227,20.24228214146151
D22 - Sacramento River @ Emmaton,0310,E1222B2796,12/15/2022 11:10,1230,1325,7.436399217221135
SF Estuarine Entrapment Zone- 2000 ?S/cm bottom EC,0310,E1222B2828,12/15/2022 11:10,1300,1325,1.9047619047619049
NZ068 in Sacramento River,0310,E1222B2797,12/15/2022 12:15,218,211,-3.263403263403263
D6 - Suisun Bay @ Bulls Head nr. Martinez,0310,E1222B2861,12/16/2022 09:30,25100,26152,4.105205650511199
D8 - Suisun Bay off Middle Point nr. Nichols,0310,E1222B2862,12/16/2022 10:30,10100,10701,5.77856833806067
D10 - Sacramento River @ Chipps Island,0310,E1222B2863,12/16/2022 11:25,9110,9173,0.6891647978996882
D7 - Grizzly Bay @ Dolphin nr. Suisun Slough,0310,E1222B2903,12/19/2022 09:55,19900,20361,2.2900573756240528
NZS42 - Suisun Slough @ Volanti Slough,0310,E1222B2904,12/19/2022 11:20,11900,11947,0.394179561370403
NZ032 - Montezuma Slough nr Grizzly Island Club,0310,E1222B2905,12/19/2022 12:30,12000,12295,2.4284832270014407
D41A - San Pablo Bay near Mouth of Petaluma River,0310,E1222B2951,12/20/2022 09:40,35700,36825,3.1023784901758016
D41 - San Pablo Bay near Pinole Point,0310,E1222B2952,12/20/2022 11:20,41900,43537,3.832063391738942
